site,depth_num,depth_name,treatment,rep,W1_tube_cap_g,soil_g,W2,W3_resid_tube_soil_7_g,soln_tube_soil_13_g,C3,C4,F,AEC,unique_ID,unique_ID_short,KCl_NO3_blank_corrected_ug_N_L,pH_DI,ph_1M_KCl,bulk_density,years_soy,years_maize,years_since_deforested
APP2,1,0-1,forest,orange,13.031,0.9994,14.0304,14.5551,45.68879,143.862,2.9492,0.948915435,0.053187451,APP2_0_1_o,APP2_0_1,219.9777,5.46,4.57,1.223069874,0,0,0
APP2,2,2-Jan,forest,orange,13.0912,0.9996,14.0908,14.8224,52.06809,162.119,4.9473,0.95822018,0.204012003,APP2_1_2_o,APP2_1_2,34.3671,5.55,5.18,1.172027491,0,0,0
APP2,3,3-Feb,forest,orange,13.0455,0.9988,14.0443,14.7341,51.60009,169.854,5.4903,0.952489548,0.263955847,APP2_2_3_o,APP2_2_3,56.50415,5.71,5.63,1.204467354,0,0,0
APP2,4,4-Mar,forest,orange,13.1312,1.001,14.1322,14.9008,49.08379,170.232,6.092,0.934060137,0.247628533,APP2_3_4_o,APP2_3_4,50.40225,5.88,5.91,1.22242268,0,0,0
APP2,5,5-Apr,forest,orange,13.0778,0.9977,14.0755,14.6845,48.28979,166.161,6.56,0.88493299,0.393764531,APP2_4_5_o,APP2_4_5,77.78975,5.78,5.82,1.197955326,0,0,0
APP2,6,6-May,forest,orange,13.1295,1.001,14.1305,14.9254,49.40969,168.75,6.0706,0.952033768,0.236861389,APP2_5_6_o,APP2_5_6,61.6127,5.95,5.87,1.174003436,0,0,0
APP2,7,7-Jun,forest,orange,12.9991,0.9985,13.9976,14.7751,51.12249,162.395,6.9929,0.955551166,0.394215076,APP2_6_7_o,APP2_6_7,61.187,5.95,5.51,1.182714777,0,0,0
APP2,8,8-Jul,forest,orange,13.0592,0.9985,14.0577,14.8932,52.43579,169.325,6.2349,0.968665135,0.285246091,APP2_7_8_o,APP2_7_8,11.0948,5.98,5.47,1.247164948,0,0,0
APP2,1,0-1,forest,pink,13.0502,1.001,14.0512,14.5463,41.79869,152.514,3.0358,0.948915435,0.025912423,APP2_0_1_p,APP2_0_1,219.9777,5.46,4.57,1.223069874,0,0,0
APP2,2,2-Jan,forest,pink,12.9795,1.0018,13.9813,14.7689,49.44779,153.742,5.3231,0.95822018,0.198938132,APP2_1_2_p,APP2_1_2,34.3671,5.55,5.18,1.172027491,0,0,0
